id,Site,Distance,sex,Comp.1
23358,D,430,female,2.544648812
23360,D,430,female,2.453735639
27065,C,300,female,1.575535445
27920,D,430,female,2.949410591
30749,D,430,female,1.925544139
32276,D,430,female,1.51076154
32493,D,430,female,3.514291177
32958,G,860,female,1.374909427
33062,G,860,female,0.740804652
35063,I,1080,female,-0.403728764
35065,I,1080,female,-3.142458548
35066,I,1080,female,-1.669028352
35067,I,1080,female,0.163629681
35068,I,1080,female,-0.003377456
35069,I,1080,female,-1.950053766
35072,I,1080,female,0.759975297
38091,F,760,female,0.767209689
38101,H,940,female,0.366235324
38919,J,1140,female,0.144106079
38927,F,760,female,1.058628387
38928,J,1140,female,0.370613872
44807,C,300,female,1.09290727
44809,C,300,female,2.291112198
44810,C,300,female,1.973300507
44814,C,300,female,1.688017572
47865,H,940,female,3.232422076
47866,H,940,female,1.175493712
50598,A,0,female,2.288293653
50600,F,760,female,-0.648929858
53626,G,860,female,-0.054844895
57751,B,100,female,1.679494637
58167,C,300,female,1.623748847
62799,B,100,female,1.454708998
65024,I,1080,female,-1.583943543
65025,I,1080,female,1.443523113
67235,I,1080,female,1.170924758
103200,C,300,female,1.235785542
106846,G,860,female,-0.337430604
106847,G,860,female,0.578565033
115475,F,760,female,0.311240884
144728,F,760,female,0.865701302
144751,A,0,female,3.706574162
144753,E,640,female,2.689762519
