id,Site,Distance,sex,Comp.1
18334,F,760,male,-2.709351277
23362,D,430,male,-0.322080214
27905,D,430,male,-0.744350334
27906,D,430,male,-0.422455322
27907,D,430,male,0.001468766
27908,D,430,male,1.673770502
27918,D,430,male,-0.302209862
27919,D,430,male,1.675806661
27921,D,430,male,1.89729413
27922,D,430,male,3.114706355
32274,D,430,male,-0.102750651
32275,D,430,male,1.021095062
34663,J,1140,male,-2.671272278
35060,I,1080,male,-4.068449098
35061,I,1080,male,-1.098837268
35062,I,1080,male,-3.060105201
35064,I,1080,male,-3.557627396
35070,I,1080,male,-0.428651873
35071,I,1080,male,-2.721657271
38085,H,940,male,-0.637499144
38086,H,940,male,-0.659799875
38087,H,940,male,-0.678377291
38093,H,940,male,-2.159548753
38095,H,940,male,-0.525423375
38233,E,640,male,-2.14739373
38786,C,300,male,-1.491159422
38796,C,300,male,0.581265385
38914,J,1140,male,-1.839645324
38917,J,1140,male,-2.175947068
38920,J,1140,male,-0.054875797
38923,J,1140,male,-1.162388532
38924,J,1140,male,-3.450698834
41505,C,300,male,0.474911656
44808,C,300,male,-0.917857847
44811,C,300,male,0.738703482
44812,C,300,male,1.010858983
46738,B,100,male,-2.069241943
46751,B,100,male,1.691169735
47666,H,940,male,-0.723818185
47668,H,940,male,-0.89865862
47864,H,940,male,-2.23934251
50599,F,760,male,-0.49733972
57379,G,860,male,-0.230222723
58168,C,300,male,0.220990457
58169,C,300,male,-0.033252023
58170,C,300,male,-0.691601516
61862,B,100,male,2.233764436
65023,I,1080,male,-2.29584965
72077,I,1080,male,-2.219566032
72079,I,1080,male,-0.408153735
78117,C,300,male,0.515500373
93460,F,760,male,2.21179957
112272,F,760,male,-4.075470381
126143,G,860,male,-2.396834623
144727,F,760,male,-1.510808854
144729,G,860,male,1.803659327
144730,F,760,male,0.894378858
144731,F,760,male,-2.373906404
144732,F,760,male,-3.704314971
144749,A,0,male,-0.416908493
144750,A,0,male,0.454879017
144752,A,0,male,1.819435263
144754,F,760,male,-0.114445086
144755,C,300,male,0.196872856
144756,C,300,male,1.229165932
