id,Site,Distance,WCH,TL,Tarsus,BL,BW,BD,S1.blue,S1.red
144750,A,0,133,147.5,41.6,19.2,7.3,8.9,0.327579661,0.230836314
144751,A,0,120.5,138,37.8,19,6.7,8.2,0.310531713,0.24599795
144752,A,0,124.5,139,36.4,19.4,7.9,9.2,0.300481521,0.271503733
144749,A,0,129,146,39.9,21.2,7.7,9.3,0.281185842,0.249014789
50598,A,0,130,137.7,40.1,17.7,7.4,8.4,0.314838585,0.207527774
57751,B,100,128.5,138.8,40.3,18.3,7,9,0.288793293,0.238688494
46738,B,100,143.5,160,43.7,19.5,7.5,9.1,0.313573259,0.220440949
46751,B,100,132.5,150.2,36.4,19.6,7.3,8.2,0.296867836,0.228690754
62799,B,100,135,151,38.3,17.7,7.8,8.1,0.311227109,0.247800834
61862,B,100,134.5,145,40.4,18.4,6.9,7.9,0.341798095,0.196400837
144756,C,300,140,151.5,39.4,18.7,6.3,8.5,0.305882759,0.23322323
38786,C,300,136,154,41.1,21.3,7.7,9.4,0.314570259,0.239661229
38796,C,300,131,146.8,39.3,19.7,7.9,8.8,0.318240483,0.21835525
41505,C,300,133,147.5,39,19,7.9,9.1,0.320989788,0.220240743
44807,C,300,134,156.5,40.3,19,6.5,8.4,0.31855053,0.243777865
44808,C,300,134,150,41,19.9,8,9.1,0.282705831,0.250293614
44809,C,300,127,139,39.5,18.1,7.5,8.1,0.280703922,0.262334648
78117,C,300,134,145,40.1,19.5,6.9,9,0.273223263,0.268957395
27065,C,300,135.5,146,38,18.9,6.9,8.7,0.307799736,0.229341575
44810,C,300,132.5,142.7,38.4,19.7,7.3,8.2,0.332716763,0.215083564
44811,C,300,133,145.6,39.1,19,7.8,9,0.323228513,0.233810229
44812,C,300,135,148,38.6,20,7.1,8.6,0.315779356,0.251087658
44814,C,300,129,136.8,41.1,18.6,7.6,8.1,0.281643262,0.258007381
58167,C,300,133.5,146,38.6,19.4,7.3,8.2,0.319091763,0.225101717
58168,C,300,141.5,150,37.7,20.2,7.7,8.4,0.307469597,0.220147541
58169,C,300,139.5,146,39.9,19.5,7.9,8.9,0.328964816,0.218569136
58170,C,300,140,153,40,19.9,7.7,8.9,0.307670974,0.244224609
144755,C,300,137,148.3,41.5,18.4,7.5,8.7,0.304561235,0.227338307
