id,museum,sex,locality,subspecies,lat,long,wing,tail,tarsus,bl,bw,bd,S1.blue,S1.red
18334,psm,male,contact,sumichrasti/cyanotis,19.044977,-98.202329,138.5,161,38.9,19.4,8.7,9.7,0.230798475,0.354892794
19180,mlz,female,woodhouse,grisea,26.742606,-106.05285,128,141.6,38.1,17.3,7.2,7.8,0.286453398,0.247441861
19192,MLZ,male,woodhouse,grisea,26.742606,-106.05285,136.5,152,38.8,18.9,7.7,8.8,0.28981491,0.242921751
19196,mlz,female,woodhouse,grisea,26.742606,-106.05285,135,148,38.1,16.5,7.6,8.3,0.277801244,0.250454615
19197,MLZ,male,woodhouse,grisea,26.742606,-106.05285,137,148,39.1,18.6,7.8,8.7,0.288370669,0.244477081
19201,mlz,male,woodhouse,grisea,26.742606,-106.05285,125.5,140,37.8,16.8,6.5,7.8,0.290089193,0.238991341
19202,mlz,male,woodhouse,grisea,26.742606,-106.05285,135,149,39.9,19,7.2,8.3,0.290958096,0.241096793
19203,mlz,male,woodhouse,grisea,26.742606,-106.05285,132.5,143.5,37,19.2,7.2,8.9,0.278572672,0.252505579
19204,mlz,female,woodhouse,grisea,26.742606,-106.05285,131,143.5,37.1,17.6,7.2,8.1,0.280610522,0.259258265
19205,MLZ,male,woodhouse,grisea,26.742606,-106.05285,135.5,152,39.8,19.8,7.3,9.4,0.303946041,0.213249486
23358,MLZ,female,woodhouse,cyanotis,21.169395,-100.900177,133.5,147,36.9,17.4,6.9,8.2,0.282625304,0.26633955
23360,MLZ,female,woodhouse,cyanotis,21.169395,-100.900177,131,139.2,38.8,16.8,7.3,8.4,0.278423222,0.282190112
23362,MLZ,male,woodhouse,cyanotis,21.169395,-100.900177,136,150,40.4,19.1,7.7,9,0.28840306,0.255169911
27065,Cal academy of sciences,female,woodhouse,cyanotis,22.49217,-101.26536,135.5,146,38,18.9,6.9,8.7,0.307799736,0.229341575
27905,MLZ,male,woodhouse,cyanotis,21.283224,-101.93399,139.5,151.4,43,18.2,7.5,9,0.299066443,0.235196778
27906,MLZ,male,woodhouse,cyanotis,21.283224,-101.93399,143.5,152.5,41.4,18.7,7.3,8.7,0.307121646,0.231953657
27907,mlz,male,woodhouse,cyanotis,21.283224,-101.93399,142,152.5,40.9,19.3,7,8.2,0.28254441,0.259649491
27908,MLZ,male,woodhouse,cyanotis,21.283224,-101.93399,132,151,37.8,18.5,6.9,8.7,0.305984477,0.236750802
27918,mlz,male,woodhouse,cyanotis,21.283224,-101.93399,142,152,39.3,19.6,7.5,8.5,0.28054727,0.257806692
27919,MLZ,male,woodhouse,cyanotis,21.283224,-101.93399,135,150,39,17.9,6.9,8.4,0.307561785,0.237773795
27920,MLZ,female,woodhouse,cyanotis,21.283224,-101.93399,131,139,38,18,7.3,7.9,0.309096599,0.234629503
27921,MLZ,male,woodhouse,cyanotis,21.283224,-101.93399,138.5,144,38.6,17.6,6.6,8.5,0.282891044,0.266704627
27922,mlz,male,woodhouse,cyanotis,21.283224,-101.93399,125,129,38.7,18.6,7.5,8.2,0.293615691,0.236023628
29417,mlz,male,sumichrasti,remota,17.506199,-99.636357,137,147,40.4,19,8,8.6,0.27509066,0.280569286
29500,mlz,male,sumichrasti,remota,17.506199,-99.636357,149,153.1,43.3,20,7.6,9.3,0.25354862,0.319923367
29502,mlz,male,sumichrasti,remota,17.506199,-99.636357,147,148,39.9,18.1,7.2,8.3,0.243439111,0.330484065
30282,mlz,female,sumichrasti,remota,17.506199,-99.636357,148,150,41.8,18.5,6.9,8.9,0.263064456,0.28804461
30283,mlz,female,sumichrasti,remota,17.506199,-99.636357,145,144,42,19.1,8,9.4,0.257035213,0.304524243
30284,MLZ,male,sumichrasti,remota,17.506199,-99.636357,148,144,39.2,18.5,7.9,9.5,0.263379651,0.319469482
30285,mlz,female,sumichrasti,remota,17.506199,-99.636357,143,142.5,40.8,18.6,7.7,9.6,0.254534405,0.313152419
30286,mlz,male,sumichrasti,remota,17.506199,-99.636357,150,151,42.3,19.1,7.6,9.5,0.246997646,0.331173717
30287,mlz,male,sumichrasti,remota,17.5,-99.666667,146,154,41.7,21.8,7.9,9.5,0.246235839,0.346282288
30288,mlz,male,sumichrasti,remota,17.5,-99.666667,143,143.5,43.2,20.6,8.3,9.7,0.240105349,0.350979049
30749,MLZ,female,woodhouse,cyanotis,21.174022,-101.001552,132,146.4,39.1,18.7,7.3,8,0.314979924,0.229703131
32274,MLZ,male,woodhouse,cyanotis,21.283224,-101.93399,136.5,150,38.9,20.7,7.1,9.3,0.310369154,0.225991962
32275,MLZ,male,woodhouse,cyanotis,21.283224,-101.93399,138,148.7,39.5,19,7.2,8.5,0.333508045,0.189271716
32276,mlz,female,woodhouse,cyanotis,21.283224,-101.93399,130,137.7,40.3,20.5,7.1,8.2,0.289015916,0.25752082
32493,mlz,female,woodhouse,cyanotis,21.283224,-101.93399,129,134,38.3,17.6,7.2,7.8,0.299439317,0.233717193
32958,MLZ,female,contact,sumichrasti/cyanotis,18.714682,-97.338439,135.5,140.1,39.2,18.6,6.8,8.6,0.250010712,0.348514762
33062,MLZ,female,contact,sumichrasti/cyanotis,18.714682,-97.338439,135,142,40.2,17.2,7.7,9.1,0.28215705,0.259867534
34663,Deleware Museum NH,male,sumichrasti,sumichrasti,16.2508333,-96.5302778,148,151.5,42,19.9,7.6,9.7,0.254641154,0.314768295
35060,mlz,male,sumichrasti,sumichrasti,16.914416,-96.300658,156,162,42.4,19.7,8,9.6,0.26087288,0.309456622
35061,mlz,male,sumichrasti,sumichrasti,16.914416,-96.300658,138,152,40.1,19.9,7.5,9.2,0.252745018,0.330015281
